#eta,sqrt(ADC),correction
0.062500,44.250000,0.045757
0.062500,44.750000,0.045805
0.062500,45.250000,0.045852
0.062500,45.750000,0.045900
0.062500,46.250000,0.046060
0.062500,46.750000,0.046344
0.062500,47.250000,0.046793
0.062500,47.750000,0.047241
0.062500,48.250000,0.047690
0.062500,48.750000,0.047823
0.062500,49.250000,0.047823
0.062500,49.750000,0.047823
0.062500,50.250000,0.047823
0.062500,50.750000,0.047823
0.062500,51.250000,0.047823
0.062500,51.750000,0.047823
0.062500,52.250000,0.047823
0.062500,52.750000,0.047823
0.062500,53.250000,0.047823
0.062500,53.750000,0.047823
0.062500,54.250000,0.047823
0.062500,54.750000,0.047823
0.062500,55.250000,0.047823
0.062500,55.750000,0.047823
0.062500,56.250000,0.047823
0.062500,56.750000,0.047823
0.062500,57.250000,0.047823
0.062500,57.750000,0.047823
0.062500,58.250000,0.047823
0.062500,58.750000,0.047823
0.062500,59.250000,0.047823
0.062500,59.750000,0.047823
0.062500,60.250000,0.047823
0.062500,60.750000,0.047823
0.062500,61.250000,0.047823
0.062500,61.750000,0.047823
0.062500,62.250000,0.047823
0.062500,62.750000,0.047823
0.062500,63.250000,0.047823
0.062500,63.750000,0.047823
0.062500,64.250000,0.047823
0.062500,64.750000,0.047823
0.062500,65.250000,0.047823
0.062500,65.750000,0.047823
0.062500,66.250000,0.047823
0.062500,66.750000,0.047823
0.062500,67.250000,0.047823
0.062500,67.750000,0.047823
0.062500,68.250000,0.047823
0.062500,68.750000,0.047823
0.062500,69.250000,0.047823
0.062500,69.750000,0.047823
0.062500,70.250000,0.047823
0.062500,70.750000,0.047823
0.062500,71.250000,0.047823
0.062500,71.750000,0.047823
0.062500,72.250000,0.047823
0.062500,72.750000,0.047823
0.062500,73.250000,0.047823
0.062500,73.750000,0.047823
0.062500,74.250000,0.047823
0.062500,74.750000,0.047823
0.062500,75.250000,0.047823
0.062500,75.750000,0.047823
0.062500,76.250000,0.047823
0.062500,76.750000,0.047823
0.062500,77.250000,0.047823
0.062500,77.750000,0.047823
0.062500,78.250000,0.047823
0.062500,78.750000,0.047823
0.062500,79.250000,0.047823
0.062500,79.750000,0.047823
0.062500,80.250000,0.047823
0.062500,80.750000,0.047823
0.062500,81.250000,0.047823
0.062500,81.750000,0.047823
0.062500,82.250000,0.047823
0.062500,82.750000,0.047823
0.062500,83.250000,0.047823
0.062500,83.750000,0.047823
0.062500,84.250000,0.047823
0.062500,84.750000,0.047823
0.062500,85.250000,0.047823
0.062500,85.750000,0.047823
0.062500,86.250000,0.047823
0.062500,86.750000,0.047823
0.062500,87.250000,0.047823
0.062500,87.750000,0.047823
0.062500,88.250000,0.047823
0.062500,88.750000,0.047823
0.062500,89.250000,0.047823
0.062500,89.750000,0.047823
0.062500,90.250000,0.047823
0.062500,90.750000,0.047823
0.062500,91.250000,0.047823
0.062500,91.750000,0.047823
0.062500,92.250000,0.047823
0.062500,92.750000,0.047823
0.062500,93.250000,0.047823
0.062500,93.750000,0.047823
0.062500,94.250000,0.047823
0.062500,94.750000,0.047823
0.062500,95.250000,0.047823
0.062500,95.750000,0.047823
0.062500,96.250000,0.047823
0.062500,96.750000,0.047823
0.062500,97.250000,0.047823
0.062500,97.750000,0.047823
0.062500,98.250000,0.047823
0.062500,98.750000,0.047823
0.062500,99.250000,0.047823
0.062500,99.750000,0.047823
0.062500,100.250000,0.047823
0.062500,100.750000,0.047823
0.062500,101.250000,0.047823
0.062500,101.750000,0.047823
0.062500,102.250000,0.047823
0.062500,102.750000,0.047823
0.062500,103.250000,0.047823
0.062500,103.750000,0.047823
0.062500,104.250000,0.047823
0.062500,104.750000,0.047823
0.062500,105.250000,0.047823
0.062500,105.750000,0.047823
0.062500,106.250000,0.047823
0.062500,106.750000,0.047823
0.062500,107.250000,0.047823
0.062500,107.750000,0.047823
0.062500,108.250000,0.047823
0.062500,108.750000,0.047823
0.062500,109.250000,0.047823
0.062500,109.750000,0.047823
0.062500,110.250000,0.047823
0.062500,110.750000,0.047823
0.062500,111.250000,0.047823
0.062500,111.750000,0.047823
0.062500,112.250000,0.047823
0.062500,112.750000,0.047823
0.062500,113.250000,0.047823
0.062500,113.750000,0.047823
0.062500,114.250000,0.047823
0.062500,114.750000,0.047823
0.062500,115.250000,0.047823
0.062500,115.750000,0.047823
0.062500,116.250000,0.047823
0.062500,116.750000,0.047823
0.062500,117.250000,0.047823
0.062500,117.750000,0.047823
0.062500,118.250000,0.047823
0.062500,118.750000,0.047823
0.062500,119.250000,0.047823
0.062500,119.750000,0.047823
0.062500,120.250000,0.047823
0.062500,120.750000,0.047823
0.062500,121.250000,0.047823
0.062500,121.750000,0.047823
0.062500,122.250000,0.047823
0.062500,122.750000,0.047823
0.062500,123.250000,0.047823
0.062500,123.750000,0.047823
0.062500,124.250000,0.047823
0.062500,124.750000,0.047823
0.062500,125.250000,0.047823
0.062500,125.750000,0.047823
0.062500,126.250000,0.047823
0.062500,126.750000,0.047823
0.062500,127.250000,0.047823
0.062500,127.750000,0.047823
0.062500,128.250000,0.047823
0.062500,128.750000,0.047823
0.062500,129.250000,0.047823
0.062500,129.750000,0.047823
0.062500,130.250000,0.047823
0.062500,130.750000,0.047823
0.062500,131.250000,0.047823
0.062500,131.750000,0.047823
0.062500,132.250000,0.047823
0.062500,132.750000,0.047823
